Country;Sector;Product CN Code;Description;2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up)
Algeria;Iron and steel;72111400;"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than hot-rolled, not clad, plated or coated, of a thickness of >= 4,75 mm (excl. ""wide flats"")";3,3;3,6;3,9
Algeria;Iron and steel;72111900;"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated, of a thickness < 4,75 mm (excl. ""wide flats"")";3,3;3,6;3,9
Algeria;Iron and steel;721123;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight < 0,25% of carbon";3,3;3,6;3,9
Algeria;Iron and steel;72112900;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon";3,3;3,6;3,9
Algeria;Iron and steel;721190;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated";3,3;3,6;3,9
Algeria;Iron and steel;7212;"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated";3,3;3,6;3,9
Algeria;Iron and steel;7213;Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils;3,3;3,6;3,9
Algeria;Iron and steel;7214;Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but incl. those twisted after rolling (excl. in irregularly wound coils);3,3;3,6;3,9
Algeria;Iron and steel;72141000;Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils);3,3;3,6;3,9
Algeria;Iron and steel;72142000;Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process;3,3;3,6;3,9
Algeria;Iron and steel;72143000;Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling);3,3;3,6;3,9
Algeria;Iron and steel;721491;"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)";3,3;3,6;3,9
Algeria;Iron and steel;721499;Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel);3,3;3,6;3,9
Algeria;Iron and steel;7215;Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s.;3,3;3,6;3,9
Algeria;Iron and steel;7216;Angles, shapes and sections of iron or non-alloy steel, n.e.s.;3,3;3,6;3,9
Algeria;Iron and steel;7217;Wire of iron or non-alloy steel, in coils (excl. bars and rods);3,3;3,6;3,9
Algeria;Iron and steel;721710;Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods);3,3;3,6;3,9
Algeria;Iron and steel;721720;Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods);3,3;3,6;3,9
Algeria;Iron and steel;721730;Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods);3,3;3,6;3,9
Algeria;Iron and steel;721790;Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods);3,3;3,6;3,9
Algeria;Iron and steel;7218;"Stainless steel in ingots or other primary forms (excl. remelting scrap ingots and products obtained by continuous casting); semi-finished products of stainless steel";3,63;3,96;4,29
Algeria;Iron and steel;72181000;Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting);3,63;3,96;4,29
Algeria;Iron and steel;721891;"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section";3,63;3,96;4,29
Algeria;Iron and steel;72189911;Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting;3,63;3,96;4,29
Algeria;Iron and steel;72189919;Semi-finished products of stainless steel, of square cross-section, forged;3,63;3,96;4,29
Algeria;Iron and steel;72189920;Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting;3,63;3,96;4,29
Algeria;Iron and steel;72189980;Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section);3,63;3,96;4,29
Algeria;Iron and steel;7219;"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";3,63;3,96;4,29
Algeria;Iron and steel;72191100;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm;3,63;3,96;4,29
Algeria;Iron and steel;721912;Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm;3,63;3,96;4,29
Algeria;Iron and steel;721913;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm;3,63;3,96;4,29
Algeria;Iron and steel;721914;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm;3,63;3,96;4,29
Algeria;Iron and steel;721921;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm;3,63;3,96;4,29
Algeria;Iron and steel;721922;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm;3,63;3,96;4,29
Algeria;Iron and steel;72192300;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm;3,63;3,96;4,29
