HS Code,Country,Year,Volume,Emissions Type,Emissions (tCO2/t),Benchmark (tCO2/t),Free Allowance,Total to Pay (€)
72024910,China,2026,1,Real,3.157,1.142,0.975,153.27
73269098,India,2026,10,Default,5.401,1.491,0.975,2960.46
