Country,Sector,Product CN Code,Description,2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up)
China,Iron and steel,722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",6.732,7.344,7.956
China,Iron and steel,722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",6.732,7.344,7.956
China,Iron and steel,722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",6.732,7.344,7.956
China,Iron and steel,72288000,"Hollow drill bars and rods, of alloy or non-alloy steel",6.732,7.344,7.956
China,Iron and steel,7229,"Wire of alloy steel other than stainless, in coils (excl. bars and rods)",6.732,7.344,7.956
China,Iron and steel,7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",2.502,2.73,2.957
China,Iron and steel,7302,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails",6.826,7.446,8.067
,,7302,,,,
China,Iron and steel,730300,"Tubes, pipes and hollow profiles, of cast iron",2.41,2.629,2.848
,,730300,,,,
China,Iron and steel,73041100,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",7.706,8.406,9.107
China,Iron and steel,730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron)",2.948,3.216,3.484
China,Iron and steel,73042200,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",7.706,8.406,9.107
China,Iron and steel,73042300,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron)",2.948,3.216,3.484
China,Iron and steel,73042400,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",7.706,8.406,9.107
China,Iron and steel,730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)",2.948,3.216,3.484
China,Iron and steel,730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)",2.948,3.216,3.484
China,Iron and steel,730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",2.948,3.216,3.484
China,Iron and steel,73044100,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",7.706,8.406,9.107
China,Iron and steel,730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)",7.706,8.406,9.107
China,Iron and steel,730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.948,3.216,3.484
China,Iron and steel,730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.948,3.216,3.484
China,Iron and steel,73049000,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)",2.948,3.216,3.484
China,Iron and steel,7305,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""",2.844,3.102,3.361
,,7305,,,,
China,Iron and steel,73061100,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",7.728,8.43,9.133
China,Iron and steel,73061900,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",3.922,4.278,4.635
China,Iron and steel,73062100,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",7.728,8.43,9.133
China,Iron and steel,73062900,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",3.922,4.278,4.635
China,Iron and steel,73063012,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced""",3.922,4.278,4.635
China,Iron and steel,73063018,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled)",3.922,4.278,4.635
China,Iron and steel,73063041,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc",3.922,4.278,4.635
China,Iron and steel,73063049,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)",3.922,4.278,4.635
China,Iron and steel,73063072,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas)",3.922,4.278,4.635
China,Iron and steel,73063077,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")",3.922,4.278,4.635
China,Iron and steel,73063080,"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")",3.922,4.278,4.635
China,Iron and steel,73064020,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",7.728,8.43,9.133
China,Iron and steel,73064080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",7.717,8.418,9.12
China,Iron and steel,73065021,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced""",3.922,4.278,4.635
China,Iron and steel,73065029,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled)",3.922,4.278,4.635
China,Iron and steel,73065080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes)",3.922,4.278,4.635
China,Iron and steel,73066110,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel",7.728,8.43,9.133
China,Iron and steel,73066192,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm",3.922,4.278,4.635
China,Iron and steel,73066199,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of > 2 mm",3.922,4.278,4.635
China,Iron and steel,73066910,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",7.728,8.43,9.133
China,Iron and steel,73066990,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel other than stainless steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)",3.922,4.278,4.635
China,Iron and steel,73069000,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",3.922,4.278,4.635
,,73069000,,,,
China,Iron and steel,730711,Tube or pipe fittings of non-malleable cast iron,3.577,3.902,4.228
China,Iron and steel,73071910,Tube or pipe fittings of cast iron (excl. of non-malleable),3.577,3.902,4.228
China,Iron and steel,73071990,Cast tube or pipe fittings of steel,3.577,3.902,4.228
China,Iron and steel,73072100,Flanges of stainless steel (excl. cast products),5.539,6.042,6.546
China,Iron and steel,730722,"Threaded elbows, bends and sleeves of stainless steel (excl. cast products)",5.539,6.042,6.546
China,Iron and steel,730723,Butt welding tube or pipe fittings of stainless steel (excl. cast products),5.539,6.042,6.546
China,Iron and steel,730729,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)",5.539,6.042,6.546
China,Iron and steel,73079100,Flanges of iron or steel (excl. cast or stainless products),3.577,3.902,4.228
China,Iron and steel,730792,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)",3.577,3.902,4.228
China,Iron and steel,730793,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)",3.577,3.902,4.228
China,Iron and steel,730799,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)",3.577,3.902,4.228
China,Iron and steel,7308,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)",6.639,7.242,7.846
China,Iron and steel,7309,"Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)",7.321,7.986,8.652
China,Iron and steel,7310,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s.",4.743,5.174,5.605
,,7310,,,,
China,Iron and steel,731100,"Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)",7.31,7.974,8.639
,,731100,,,,
China,Iron and steel,73181100,Coach screws of iron or steel,3.012,3.286,3.559
China,Iron and steel,73181210,Wood screws of stainless steel (excl. coach screws),7.706,8.406,9.107
China,Iron and steel,73181290,Wood screws of iron or steel other than stainless (excl. coach screws),3.012,3.286,3.559
China,Iron and steel,73181300,"Screw hooks and screw rings, of iron or steel",3.012,3.286,3.559
China,Iron and steel,73181410,"Self-tapping screws, of stainless steel (excl. wood screws)",7.706,8.406,9.107
China,Iron and steel,73181491,Spaced-thread screws of iron or steel other than stainless,3.012,3.286,3.559
China,Iron and steel,73181499,Self-tapping screws of iron or steel other than stainless (excl. spaced-thread screws and wood screws),3.012,3.286,3.559
China,Iron and steel,731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded)",7.013,7.65,8.288
China,Iron and steel,731816,Nuts of iron or steel,5.55,6.054,6.559
China,Iron and steel,73181900,"Threaded articles, of iron or steel, n.e.s.",3.012,3.286,3.559
China,Iron and steel,73182100,"Spring washers and other lock washers, of iron or steel",3.012,3.286,3.559
China,Iron and steel,73182200,Washers of iron or steel (excl. spring washers and other lock washers),5.011,5.466,5.922
China,Iron and steel,73182300,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses),3.012,3.286,3.559
China,Iron and steel,73182400,"Cotters and cotter pins, of iron or steel",3.012,3.286,3.559
China,Iron and steel,73182900,"Non-threaded articles, of iron or steel",3.012,3.286,3.559
,,73182900,,,,
China,Iron and steel,73261100,"Grinding balls and similar articles for mills, of iron or steel, forged or stamped, but not further worked",3.384,3.691,3.999
China,Iron and steel,732619,"Articles of iron or steel, forged or stamped, but not further worked, n.e.s. (excl. grinding balls and similar articles for mills)",3.384,3.691,3.999
China,Iron and steel,73262000,"Articles of iron or steel wire, n.e.s.",3.384,3.691,3.999
China,Iron and steel,73269030,"Ladders and steps, of iron or steel",3.384,3.691,3.999
China,Iron and steel,73269040,"Pallets and similar platforms for handling goods, of iron or steel",3.384,3.691,3.999
China,Iron and steel,73269050,"Reels for cables, piping and the like, of iron or steel",3.384,3.691,3.999
China,Iron and steel,73269060,"Ventilators, non-mechanical, guttering, hooks and like articles used in the building industry, n.e.s., of iron or steel",3.384,3.691,3.999
China,Iron and steel,73269092,"Articles of iron or steel, open-die forged, n.e.s.",3.384,3.691,3.999
China,Iron and steel,73269094,"Articles of iron or steel, closed-die forged, n.e.s.",3.384,3.691,3.999
China,Iron and steel,73269096,"Sintered articles of iron or steel, n.e.s.",3.384,3.691,3.999
China,Iron and steel,73269098,"Articles of iron or steel, n.e.s.",3.384,3.691,3.999
Colombia,Cement,25070080,Calcined clay,,,
Colombia,Cement,25231000,White clinker,,,
Colombia,Cement,25231000,Grey clinker,1.221,1.332,1.443
Colombia,Cement,25232100,White Portland cement,1.463,1.596,1.729
Colombia,Cement,25232900,Grey Portland cement,1.232,1.344,1.456
Colombia,Cement,25239000,White hydraulic cements,,,
Colombia,Cement,25239000,Grey hydraulic cements,,,
Colombia,Cement,25233000,Aluminous cement,,,
Colombia,Fertilisers,28080000,Nitric acid; sulphonitric acids,1.949,1.949,1.949
Colombia,Fertilisers,28141000,Anhydrous ammonia,2.363,2.363,2.363
Colombia,Fertilisers,28142000,Ammonia in aqueous solution,0.707,0.707,0.707
Colombia,Fertilisers,28342100,Nitrate of potassium,1.737,1.737,1.737
Colombia,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,
Colombia,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.525,0.525,0.525
Colombia,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.869,0.869,0.869
Colombia,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.596,1.596,1.596
Colombia,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.566,1.566,1.566
Colombia,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.707,0.707,0.707
Colombia,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.242,1.242,1.242
Colombia,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.323,1.323,1.323
Colombia,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.04,2.04,2.04
Colombia,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.757,1.757,1.757
Colombia,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.757,1.757,1.757
Colombia,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",3.04,3.04,3.04
Colombia,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.707,1.707,1.707
Colombia,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.414,1.414,1.414
Colombia,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.555,1.555,1.555
Colombia,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,
Colombia,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.747,0.747,0.747
Colombia,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.909,0.909,0.909
Colombia,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.616,0.616,0.616
Colombia,Fertilisers,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.566,0.566,0.566
Colombia,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.364,0.364,0.364
Colombia,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.232,1.232,1.232
Colombia,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.687,0.687,0.687
Colombia,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.172,1.172,1.172
Colombia,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.606,0.606,0.606
Colombia,Aluminium,7601,Unwrought aluminium,0.396,0.432,0.468
Colombia,Aluminium,7603,Aluminium powders and flakes,1.133,1.236,1.339
Colombia,Aluminium,76041010,Bars and rods,1.375,1.5,1.625
Colombia,Aluminium,76041090,Profiles,1.397,1.524,1.651
Colombia,Aluminium,76042100,Hollow profiles,1.397,1.524,1.651
Colombia,Aluminium,76042910,Bars and rods,1.375,1.5,1.625
Colombia,Aluminium,76042990,Profiles,1.397,1.524,1.651
Colombia,Aluminium,7605,Aluminium wire,1.375,1.5,1.625
Colombia,Aluminium,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",1.881,2.052,2.223
Colombia,Aluminium,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",1.881,2.052,2.223
Colombia,Aluminium,7608,Aluminium tubes and pipes,1.397,1.524,1.651
Colombia,Aluminium,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",1.397,1.524,1.651
Colombia,Aluminium,76101000,"Doors, windows and their frames and thresholds for doors",1.397,1.524,1.651
Colombia,Aluminium,761090,Other,1.397,1.524,1.651
Colombia,Aluminium,76109010,"Bridges and bridge-sections, towers and lattice masts",1.397,1.524,1.651
Colombia,Aluminium,76109090,Other,1.397,1.524,1.651
Colombia,Aluminium,76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.881,2.052,2.223
Colombia,Aluminium,7612,"Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",1.881,2.052,2.223
Colombia,Aluminium,76130000,Aluminium containers for compressed or liquefied gas,1.881,2.052,2.223
Colombia,Aluminium,7614,"Stranded wire, cables, plaited bands and the like, of aluminium, not electrically insulated",1.375,1.5,1.625
Colombia,Aluminium,76161000,"Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles",1.881,2.052,2.223
Colombia,Aluminium,76169100,"Cloth, grill, netting and fencing, of aluminium wire",1.881,2.052,2.223
Colombia,Aluminium,76169910,Cast,1.133,1.236,1.339
Colombia,Aluminium,76169990,Other,1.881,2.052,2.223
Colombia,Hydrogen,28041000,Hydrogen,11.902,12.984,14.066
Colombia,Iron and steel,26011200,Agglomerated iron ores and concentrates (excl. roasted iron pyrites),0.341,0.372,0.403
Colombia,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",2.123,2.316,2.509
Colombia,Iron and steel,720211,"Ferro-manganese, containing by weight > 2% of carbon",1.859,2.028,2.197
Colombia,Iron and steel,720219,"Ferro-manganese, containing by weight <= 2% carbon",,,
Colombia,Iron and steel,720241,"Ferro-chromium, containing by weight > 4% of carbon",2.585,2.82,3.055
Colombia,Iron and steel,720249,"Ferro-chromium, containing by weight <= 4% of carbon",,,
Colombia,Iron and steel,72026000,Ferro-nickel,3.828,4.176,4.524
Colombia,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",,,
Colombia,Iron and steel,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",2.222,2.424,2.626
,,7205,,,,
Colombia,Iron and steel,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",2.31,2.52,2.73
Colombia,Iron and steel,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",2.321,2.532,2.743
,,72069000,,,,
Colombia,Iron and steel,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",2.321,2.532,2.743
Colombia,Iron and steel,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",2.321,2.532,2.743
Colombia,Iron and steel,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",2.31,2.52,2.73
Colombia,Iron and steel,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",2.31,2.52,2.73
Colombia,Iron and steel,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",2.31,2.52,2.73
Colombia,Iron and steel,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",2.321,2.532,2.743
Colombia,Iron and steel,72072011,"Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72072015,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",2.321,2.532,2.743
Colombia,Iron and steel,72072017,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",2.321,2.532,2.743
Colombia,Iron and steel,72072019,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, forged",2.31,2.52,2.73
Colombia,Iron and steel,72072032,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72072039,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of rectangular ""other than square"" cross-section and the width >= twice the thickness, forged",2.31,2.52,2.73
Colombia,Iron and steel,72072052,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",2.321,2.532,2.743
Colombia,Iron and steel,72072059,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of circular or polygonal cross-section, forged",2.31,2.52,2.73
Colombia,Iron and steel,72072080,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon (excl. those of square, rectangular, circular or polygonal cross-section)",2.321,2.532,2.743
Colombia,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated",2.816,3.072,3.328
