Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Argentina,Iron and steel,72112900,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,721190,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7212,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7214,"Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but incl. those twisted after rolling (excl. in irregularly wound coils)",,,,see below,see below,see below,
Argentina,Iron and steel,72141000,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils)",2.46,,2.46,2.706,2.952,3.198,(C)
Argentina,Iron and steel,72142000,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,72143000,"Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,721491,"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7215,"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s.",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7216,"Angles, shapes and sections of iron or non-alloy steel, n.e.s.",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7217,"Wire of iron or non-alloy steel, in coils (excl. bars and rods)",,,,see below,see below,see below,
Argentina,Iron and steel,721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,721720,"Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7218,Stainless steel in ingots or other primary forms (excl. remelting scrap ingots and products obtained by continuous casting); semi-finished products of stainless steel,,,,see below,see below,see below,
Argentina,Iron and steel,72181000,"Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,721891,"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72189911,"Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72189919,"Semi-finished products of stainless steel, of square cross-section, forged",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,72189920,"Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72189980,"Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,7219,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below,
Argentina,Iron and steel,72191100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,721914,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,721922,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72192300,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72192400,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72193100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,721932,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,7220,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
Argentina,Iron and steel,72201100,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,72201200,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,7221,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,7222,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s.",,,,see below,see below,see below, 
Argentina,Iron and steel,722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,722219,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s.",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,722240,"Angles, shapes and sections of stainless steel, n.e.s.",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,7223,"Wire of stainless steel, in coils (excl. bars and rods)",,,,see below,see below,see below, 
Argentina,Iron and steel,722300,"Wire of stainless steel, in coils (excl. bars and rods)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,7224,"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form, and products obtained by continuous casting)",,,,see below,see below,see below, 
Argentina,Iron and steel,722410,"Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,72249002,Semi-finished products of tool steel,3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249003,"Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249005,"Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249007,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249014,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249018,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,72249031,"Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249038,"Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72249090,"Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,7225,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
Argentina,Iron and steel,72251100,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",4.36,,4.36,4.796,5.232,5.668,(C)
Argentina,Iron and steel,72251910,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled",3.34,,3.34,3.674,4.008,4.342,(C)
Argentina,Iron and steel,72251990,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,722540,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,72259100,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,72259200,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,72259900,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,7226,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
Argentina,Iron and steel,72261100,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented",4.36,,4.36,4.796,5.232,5.668,(C)
Argentina,Iron and steel,72261910,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled",3.34,,3.34,3.674,4.008,4.342,(C)
Argentina,Iron and steel,72261980,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,72262000,"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel)",3.34,,3.34,3.674,4.008,4.342,(F)
Argentina,Iron and steel,72269200,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)",3.43,,3.43,3.773,4.116,4.459,(F)
Argentina,Iron and steel,7227,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils",3.14,,3.14,3.454,3.768,4.082,(C)/(F)
Argentina,Iron and steel,7228,"Other bars and rods of alloy steel other than stainless, angles, shapes and sections of alloy steel other than stainless, n.e.s.; hollow drill bars and rods, of alloy or non-alloy steel",,,,see below,see below,see below, 
Argentina,Iron and steel,72281020,"Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,72281050,"Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,72281090,"Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,722820,"Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(C)/(F)
Argentina,Iron and steel,722840,"Bars and rods of alloy steel other than stainless, not further worked than forged (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(C)/(F)
Argentina,Iron and steel,722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,72288000,"Hollow drill bars and rods, of alloy or non-alloy steel",3.14,,3.14,3.454,3.768,4.082,(F)
Argentina,Iron and steel,7229,"Wire of alloy steel other than stainless, in coils (excl. bars and rods)",3.14,,3.14,3.454,3.768,4.082,(C)/(F)
Argentina,Iron and steel,7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7302,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails",2.98,,2.98,3.278,3.576,3.874,(C)
Argentina,Iron and steel,7303,"Tubes, pipes and hollow profiles, of cast iron",,,,see below,see below,see below, 
Argentina,Iron and steel,730300,"Tubes, pipes and hollow profiles, of cast iron",2.35,,2.35,2.585,2.82,3.055, 
Argentina,Iron and steel,7304,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",,,,see below,see below,see below, 
Argentina,Iron and steel,73041100,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,730419,"Line pipe of a kind used for oil or gas pipelines, seamless, of iron or steel (excl. products of stainless steel or of cast iron)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73042200,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,73042300,"Drill pipe, seamless, of a kind used in drilling for oil or gas, of iron or steel (excl. products of stainless steel or of cast iron)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73042400,"Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,730431,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,73044100,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,730449,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)",3.23,,3.23,3.553,3.876,4.199, 
Argentina,Iron and steel,730451,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.4,,2.4,2.64,2.88,3.12,(F)
Argentina,Iron and steel,730459,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)",2.4,,2.4,2.64,2.88,3.12,(C)/(F)
Argentina,Iron and steel,73049000,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)",2.47,,2.47,2.717,2.964,3.211,(C)
Argentina,Iron and steel,7305,"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,7306,"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)",,,,see below,see below,see below, 
Argentina,Iron and steel,73061100,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,73061900,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73062100,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,73062900,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063012,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced""",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063018,"Precision tubes, welded, of circular cross-section, of iron or non-alloy steel (excl. cold-drawn or cold-rolled)",2.59,,2.59,2.849,3.108,3.367, 
Argentina,Iron and steel,73063041,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel, plated or coated with zinc",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063049,"Threaded or threadable tubes ""gas pipe"", welded, of circular cross-section, of iron or non-alloy steel (excl. products plated or coated with zinc)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063072,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel, of an external diameter of <= 168,3 mm, plated or coated with zinc (excl. line pipe of a kind used for oil or gas pipelines or casing and tubingof a kind used in drilling for oil or gas)",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063077,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel of an external diameter of <= 168,3 mm (excl. plated or coated with zinc and line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used in drilling for oil or gas, precision tubes and threaded or threadable tubes ""gas pipe"")",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73063080,"Tubes, pipes and hollow profiles, welded, having a circular cross-section, of iron or steel, of an external diameter of > 168,3 mm but <= 406,4 mm (excl. line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, or precision steel tubes, electrical conduit tubes or threaded or threadable tubes ""gas pipe"")",2.68,,2.68,2.948,3.216,3.484,(C)
Argentina,Iron and steel,73064020,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,73064080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products cold-drawn or cold-rolled ""cold-reduced"", tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)",3.43,,3.43,3.773,4.116,4.459, 
Argentina,Iron and steel,73065021,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced""",2.72,,2.72,2.992,3.264,3.536,(F)
Argentina,Iron and steel,73065029,"Precision steel tubes, welded, of circular cross-section, of alloy steel other than stainless (excl. cold-drawn or cold-rolled)",2.63,,2.63,2.893,3.156,3.419,(F)
Argentina,Iron and steel,73065080,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and precision steel tubes)",2.72,,2.72,2.992,3.264,3.536,(F)
Argentina,Iron and steel,73066110,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of stainless steel",3.52,,3.52,3.872,4.224,4.576, 
Argentina,Iron and steel,73066192,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel other than stainless steel, with a wall thickness of <= 2 mm",2.68,,2.68,2.948,3.216,3.484,(C)
