Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Albania,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.32,0.04,0.35,0.354,0.354,0.354,
Albania,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.45,0.09,1.54,1.555,1.555,1.555,
Albania,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.56,0.08,0.64,0.646,0.646,0.646,
Albania,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.43,0.06,1.49,1.505,1.505,1.505,
Albania,Fertilisers,31059080,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)",0.73,0.04,0.77,0.778,0.778,0.778,
Albania,Hydrogen,28041000,Hydrogen,14.03,,14.03,15.433,16.836,18.239,
Algeria,Cement,25070080,Calcined clay,,,,,,,
Algeria,Cement,25231000,White clinker,1.29,0.06,1.34,1.474,1.608,1.742,(B)
Algeria,Cement,25231000,Grey clinker,1.24,0.04,1.28,1.408,1.536,1.664,(A)
Algeria,Cement,25232100,White Portland cement,1.23,0.14,1.37,1.507,1.644,1.781,
Algeria,Cement,25232900,Grey Portland cement,1.23,0.06,1.3,1.43,1.56,1.69,
Algeria,Cement,25239000,White hydraulic cements,1.28,0.17,1.44,1.584,1.728,1.872,(B)
Algeria,Cement,25239000,Grey hydraulic cements,1.17,0.07,1.24,1.364,1.488,1.612,(A)
Algeria,Cement,25233000,Aluminous cement,,,,,,,
Algeria,Fertilisers,28080000,Nitric acid; sulphonitric acids,2.49,0.04,2.53,2.555,2.555,2.555,
Algeria,Fertilisers,28141000,Anhydrous ammonia,1.96,0.12,2.08,2.101,2.101,2.101,
Algeria,Fertilisers,28142000,Ammonia in aqueous solution,0.59,0.04,0.62,0.626,0.626,0.626,
Algeria,Fertilisers,28342100,Nitrate of potassium,2.0,0.06,2.06,2.081,2.081,2.081,
Algeria,Fertilisers,3102,"Mineral or chemical fertilizers, nitrogenous",,,,see below,see below,see below,
Algeria,Fertilisers,31021012,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing =>31,8% but <=33,2 % by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.44,0.03,0.47,0.475,0.475,0.475,
Algeria,Fertilisers,31021015,"Urea in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product and containing >33,2% but <=55% by weight of urea (excl. that in packages with a gross weight of <= 10 kg)",0.72,0.03,0.76,0.768,0.768,0.768,
Algeria,Fertilisers,31021019,"Urea, whether or not in aqueous solution, containing >45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg, or in aqueous solution containing =>31,8% but <=55% by weight of urea)",1.32,0.1,1.41,1.424,1.424,1.424,
Algeria,Fertilisers,31021090,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)",1.29,0.09,1.38,1.394,1.394,1.394,
Algeria,Fertilisers,31022100,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.56,0.07,0.63,0.636,0.636,0.636,
Algeria,Fertilisers,31022900,Double salts and mixtures of ammonium sulphate and ammonium nitrate,1.27,0.08,1.36,1.374,1.374,1.374,
Algeria,Fertilisers,31023010,Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg),1.51,0.06,1.57,1.586,1.586,1.586,
Algeria,Fertilisers,31023090,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",2.33,0.09,2.42,2.444,2.444,2.444,
Algeria,Fertilisers,31024010,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.98,0.09,2.07,2.091,2.091,2.091,
Algeria,Fertilisers,31024090,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.98,0.09,2.07,2.091,2.091,2.091,
Algeria,Fertilisers,31025000,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",3.88,0.06,3.94,3.979,3.979,3.979,
Algeria,Fertilisers,31026000,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.95,0.08,2.03,2.05,2.05,2.05,
Algeria,Fertilisers,31028000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg),1.46,0.08,1.53,1.545,1.545,1.545,
